unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1539302400,2018-10-12,BTC/USD,6152.76,6243.79,6109.79,6185.15,3246.3815572,20079356.888515577
1539216000,2018-10-11,BTC/USD,6517.55,6520.43,6055.28,6152.76,9616.23958351,59166414.25983699
1539129600,2018-10-10,BTC/USD,6588.72,6589.79,6387.91,6517.55,5177.06675956,33741791.458770275
1539043200,2018-10-09,BTC/USD,6604.76,6623.14,6553.13,6588.8,2254.95026959,14857416.336274592
1538956800,2018-10-08,BTC/USD,6574.15,6656.63,6541.06,6604.75,4079.04424933,26941067.50576232
1538870400,2018-10-07,BTC/USD,6547.93,6600.0,6493.92,6577.63,2455.65659087,16152400.461804235
1538784000,2018-10-06,BTC/USD,6582.11,6595.69,6526.28,6544.08,2022.78075908,13237239.109880246
1538697600,2018-10-05,BTC/USD,6548.83,6641.35,6510.0,6582.12,3807.26928181,25059903.28518724
1538611200,2018-10-04,BTC/USD,6454.81,6604.89,6450.58,6547.56,3832.70048916,25094836.41480445
1538524800,2018-10-03,BTC/USD,6500.0,6510.0,6396.34,6456.77,4774.76328174,30829548.31464038
1538438400,2018-10-02,BTC/USD,6569.32,6597.0,6447.28,6500.0,4116.13342419,26754867.257235
1538352000,2018-10-01,BTC/USD,6597.79,6638.15,6477.57,6571.2,4796.040132,31515738.9153984
1538265600,2018-09-30,BTC/USD,6574.29,6628.06,6510.0,6597.81,2482.69507513,16380350.393643469
1538179200,2018-09-29,BTC/USD,6609.02,6609.02,6454.0,6579.38,3382.01592212,22251567.917677887
1538092800,2018-09-28,BTC/USD,6684.5,6792.28,6525.67,6610.76,7642.04936428,50519754.25540765
1538006400,2018-09-27,BTC/USD,6454.32,6736.85,6431.95,6681.62,5664.85211251,37850389.17198906
1537920000,2018-09-26,BTC/USD,6428.09,6540.0,6379.44,6461.51,4295.92674134,27758173.598435827
1537833600,2018-09-25,BTC/USD,6578.7,6579.59,6324.96,6428.99,8206.61700477,52760258.65749628
1537747200,2018-09-24,BTC/USD,6703.37,6721.68,6550.96,6581.52,4030.72562001,26528301.28260822
1537660800,2018-09-23,BTC/USD,6710.01,6774.91,6659.0,6702.22,3248.80491931,21774205.30629787
1537574400,2018-09-22,BTC/USD,6748.85,6826.28,6624.79,6710.01,5491.80951385,36850096.756028645
1537488000,2018-09-21,BTC/USD,6492.98,6775.34,6483.83,6749.45,8569.98587321,57842691.15193723
1537401600,2018-09-20,BTC/USD,6388.4,6535.11,6333.63,6492.98,5177.64510387,33618346.10652583
1537315200,2018-09-19,BTC/USD,6330.0,6510.0,6100.0,6388.4,7232.08338006,46201441.4651753
1537228800,2018-09-18,BTC/USD,6251.49,6390.0,6226.63,6332.34,4196.47314808,26573494.77451291
